,,,,,,,,,,Month Year,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Total,Total,Total,Total,Total,Total,Total,Total
215,PC - 1,Fredia Caryn,Level 7,Location 3,Client Service Staff,Confirmed Staff,Lian Harley,30-11-2013,Active,,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,168,80.00,0.00,0.00,0.00,0.00,47.62%,184,184,240.00,0.00,0.00,0.00,0.00,130.43%,168,168,200.00,0.00,0.00,0.00,0.00,119.05%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,168,8.00,0.00,0.00,0.00,0.00,4.76%,184,184,0.00,0.00,0.00,0.00,320.00,0.00%,160,160,224.00,0.00,0.00,0.00,-40.00,140.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,"2,080",2080,"1,800.00",0.00,0.00,0.00,280.00,86.54%
216,PC - 1,Wenona Datha,Level 7,Location 3,Client Service Staff,Secondee-Outward-Without Pay,Cynthia Leonora,30-11-2013,Secondment,,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,184,184,120.00,0.00,0.00,0.00,64.00,65.22%,176,176,24.00,0.00,0.00,0.00,152.00,13.64%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,184,120.00,0.00,0.00,0.00,72.00,65.22%,168,168,200.00,0.00,0.00,0.00,-32.00,119.05%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,184,160.00,0.00,0.00,0.00,24.00,86.96%,96,96,96.00,0.00,0.00,0.00,0.00,100.00%,-,-,-,-,-,-,-,-,"1,840",1840,"1,560.00",0.00,0.00,0.00,280.00,84.78%
218,PC - 1,Valerie Cathy,Level 6,Location 3,Client Service Staff,Confirmed Staff,Katuscha Pru,31-12-2013,Active,,160,160,80.00,0.00,0.00,0.00,80.00,50.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,120,0.00,56.00,0.00,0.00,184.00,0.00%,168,152,0.00,0.00,16.00,0.00,144.00,0.00%,184,168,0.00,16.00,0.00,0.00,176.00,0.00%,168,120,0.00,48.00,0.00,0.00,120.00,0.00%,176,152,0.00,24.00,0.00,0.00,152.00,0.00%,176,170.5,0.00,0.00,5.50,0.00,170.50,0.00%,168,128,0.00,40.00,0.00,0.00,128.00,0.00%,184,176,0.00,8.00,0.00,0.00,176.00,0.00%,160,141,0.00,16.00,3.00,0.00,141.00,0.00%,176,160,0.00,16.00,0.00,0.00,160.00,0.00%,"2,080",1831.5,264.00,224.00,24.50,0.00,"1,631.50",14.41%
220,PC - 3,Dolly Carlynne,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,31-12-2013,Active,,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,184,184,168.00,0.00,0.00,0.00,16.00,91.30%,176,160,160.00,16.00,0.00,10.00,0.00,100.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,152,152.00,32.00,0.00,0.00,0.00,100.00%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,140,140.00,32.00,4.00,0.00,0.00,100.00%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,168,144,152.00,0.00,24.00,0.00,0.00,105.56%,184,120,120.00,64.00,0.00,0.00,0.00,100.00%,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,"2,080",1788,"1,780.00",264.00,28.00,10.00,16.00,99.55%
221,PC - 1,Margo Opaline,Level 5,Location 3,Client Service Staff,Confirmed Staff,Ardys Katerine,31-12-2013,Active,,160,160,80.00,0.00,0.00,0.00,80.00,50.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,160,64.00,0.00,8.00,0.00,88.00,40.00%,184,168,-32.00,16.00,0.00,0.00,208.00,-19.05%,168,168,84.00,0.00,0.00,0.00,84.00,50.00%,176,160,16.00,16.00,0.00,0.00,144.00,10.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,88,60.00,80.00,0.00,0.00,28.00,68.18%,184,144,0.00,40.00,0.00,0.00,120.00,0.00%,160,158.5,114.00,0.00,1.50,0.00,68.50,71.92%,176,176,96.00,0.00,0.00,0.00,80.00,54.55%,"2,080",1918.5,842.00,152.00,9.50,0.00,"1,076.50",43.89%
223,PC - 2,Aloise Asia,Level 6,Location 7,Client Service Staff,Confirmed Staff,Frances Mignonne,31-01-2014,Active,,160,128,128.00,32.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,168,168,160.00,0.00,0.00,0.00,8.00,95.24%,184,176,152.00,8.00,0.00,0.00,24.00,86.36%,168,168,40.00,0.00,0.00,0.00,128.00,23.81%,176,160,128.00,16.00,0.00,0.00,32.00,80.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,144,224.00,0.00,24.00,0.00,-72.00,155.56%,184,128,104.00,56.00,0.00,0.00,24.00,81.25%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,176,200.00,0.00,0.00,0.00,-24.00,113.64%,"2,080",1888,"1,440.00",168.00,24.00,0.00,456.00,76.27%
226,PC - 1,Shanie Kipp,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,31-12-2013,Active,,160,104,104.00,56.00,0.00,0.00,0.00,100.00%,184,144,144.00,40.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,168,64,56.00,104.00,0.00,0.00,0.00,87.50%,184,168,176.00,16.00,0.00,0.00,0.00,104.76%,168,144,144.00,24.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,152,152.00,32.00,0.00,0.00,0.00,100.00%,160,159,159.00,0.00,1.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,"2,080",1687,"1,687.00",392.00,1.00,0.00,0.00,100.00%
228,PC - 3,Kassandra Ki,Level 6,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,28-02-2014,Active,,160,140,72.00,8.00,12.00,0.00,68.00,51.43%,184,184,200.00,0.00,0.00,0.00,4.00,108.70%,176,168,200.00,8.00,0.00,0.00,6.00,119.05%,168,168,188.00,0.00,0.00,0.00,0.00,111.90%,184,144,130.00,40.00,0.00,0.00,0.00,90.28%,168,128,244.00,40.00,0.00,0.00,0.00,190.63%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,176,160,172.00,16.00,0.00,0.00,0.00,107.50%,168,128,153.00,40.00,0.00,0.00,0.00,119.53%,184,174.5,40.00,8.00,1.50,0.00,136.00,22.92%,160,160,309.00,0.00,0.00,0.00,-64.00,193.13%,176,165,212.00,8.00,3.00,0.00,0.00,128.48%,"2,080",1847.5,"2,048.00",216.00,16.50,0.00,150.00,110.85%
229,PC - 3,Bernelle Elysha,Level A3,Location 1,Support Staff,Confirmed Staff,Tallia Eyde,28-02-2014,Active,,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,184,144,0.00,40.00,0.00,0.00,144.00,0.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,184,152,0.00,32.00,0.00,0.00,152.00,0.00%,168,144,0.00,24.00,0.00,0.00,144.00,0.00%,176,160,0.00,16.00,0.00,0.00,160.00,0.00%,176,159.7,0.00,16.00,0.30,0.00,160.00,0.00%,168,128,0.00,40.00,0.00,0.00,128.00,0.00%,184,159,0.00,24.00,1.00,0.00,159.00,0.00%,160,160,0.00,0.00,0.00,0.00,167.00,0.00%,176,152,0.00,24.00,0.00,0.00,152.00,0.00%,"2,080",1846.7,0.00,232.00,1.30,0.00,"1,854.00",0.00%
230,PC - 2,Bamby Zahara,Level 7,Location 7,Client Service Staff,Resigned,Jillian Lorelei,31-03-2014,Resigned,31-12-2017,160,152,176.00,8.00,0.00,0.00,0.00,115.79%,184,176,8.00,8.00,0.00,178.00,0.00,4.55%,176,176,0.00,0.00,0.00,176.00,0.00,0.00%,168,160,24.00,8.00,0.00,136.00,0.00,15.00%,184,136,139.00,48.00,0.00,17.00,0.00,102.21%,168,152,283.00,8.00,8.00,-146.00,0.00,186.18%,176,144,215.00,24.00,8.00,-40.00,0.00,149.31%,176,175.5,28.00,0.00,0.50,0.00,220.00,15.95%,128,128,209.00,0.00,0.00,40.00,0.00,163.28%,0,0,0.00,0.00,0.00,80.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,520",1399.5,"1,082.00",104.00,16.50,441.00,220.00,77.31%
231,PC - 1,Kippy Marquita,Level 4,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,31-03-2014,Active,,160,160,41.00,0.00,0.00,119.00,0.00,25.63%,184,184,19.00,0.00,0.00,165.00,0.00,10.33%,176,160,20.00,16.00,0.00,140.00,0.00,12.50%,168,168,21.00,0.00,0.00,139.00,0.00,12.50%,184,168,70.00,16.00,0.00,106.00,0.00,41.67%,168,160,56.00,8.00,0.00,104.00,0.00,35.00%,176,152,177.00,24.00,0.00,-25.00,0.00,116.45%,176,176,141.00,0.00,0.00,35.00,0.00,80.11%,168,160,67.00,8.00,0.00,93.00,0.00,41.88%,184,152,76.00,32.00,0.00,76.00,0.00,50.00%,160,160,80.00,0.00,0.00,80.00,0.00,50.00%,176,160,87.50,16.00,0.00,74.00,0.00,54.69%,"2,080",1960,855.50,120.00,0.00,"1,106.00",0.00,43.65%
232,PC - 3,Christina Desdemona,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,31-03-2014,Active,,160,152,144.00,8.00,0.00,0.00,32.00,94.74%,184,176,224.00,0.00,8.00,0.00,0.00,127.27%,176,160,168.00,16.00,0.00,0.00,0.00,105.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,176,172,176.00,0.00,4.00,0.00,0.00,102.33%,168,104,112.00,40.00,24.00,0.00,0.00,107.69%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,"2,080",1844,"1,904.00",200.00,36.00,0.00,32.00,103.25%
794,PC - 2,Rosanne Laster,Level 7,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,31-03-2014,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,168,0.00,0.00,0.00,0.00,0.00,0.00%,184,176,136.00,8.00,0.00,0.00,0.00,77.27%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,157,157.00,16.00,3.00,0.00,0.00,100.00%,688,653,445.00,32.00,3.00,0.00,0.00,68.15%
234,PC - 3,Fanchon Vitia,Level 6,Location 1,Client Service Staff,Serving Notice Period,Vonni Bethena,31-03-2014,Active,,160,148,152.00,8.00,4.00,0.00,0.00,102.70%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,152,160.00,24.00,0.00,0.00,0.00,105.26%,168,112,112.00,8.00,48.00,0.00,0.00,100.00%,184,136,136.00,48.00,0.00,0.00,0.00,100.00%,168,160,238.00,8.00,0.00,0.00,0.00,148.75%,176,148,190.00,16.00,12.00,0.00,0.00,128.38%,176,168,204.00,8.00,0.00,0.00,0.00,121.43%,168,88,110.00,80.00,0.00,0.00,0.00,125.00%,184,144,144.00,40.00,0.00,0.00,0.00,100.00%,160,152,144.00,8.00,0.00,8.00,0.00,94.74%,176,104,88.00,16.00,56.00,0.00,16.00,84.62%,"2,080",1688,"1,854.00",272.00,120.00,8.00,16.00,109.83%
235,PC - 3,Olva Fanny,Level 8,Location 2,Client Service Staff,Resigned,Tallia Eyde,30-04-2014,Resigned,30-09-2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,0.00,0.00,0.00,0.00,0.00,0.00%,88,88,0.00,0.00,0.00,0.00,0.00,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,104,0.00,0.00,0.00,0.00,0.00,0.00%
236,PC - 5,Magda Sibella,Level 8,Location 3,Client Service Staff,Resigned,Gavra Kayle,31-05-2014,Resigned,31-05-2017,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,144,144,144.00,0.00,0.00,0.00,16.00,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,304,304,304.00,0.00,0.00,0.00,16.00,100.00%
237,PC - 2,Samantha Marylee,Level 6,Location 9,Client Service Staff,Resigned,Lenora Nydia,30-06-2014,Resigned,31-10-2017,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,165.5,165.50,16.00,2.50,0.00,0.00,100.00%,176,116,120.00,40.00,20.00,0.00,0.00,103.45%,168,64,64.00,104.00,0.00,0.00,0.00,100.00%,184,160,168.00,24.00,0.00,0.00,0.00,105.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,80,72,64.00,8.00,0.00,0.00,8.00,88.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,120",897.5,901.50,200.00,22.50,0.00,8.00,100.45%
238,PC - 3,Jewel Theressa,Level 7,Location 1,Client Service Staff,Confirmed Staff,Misti Helena,30-06-2014,Active,,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,176,104,104.00,72.00,0.00,0.00,0.00,100.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,144,72.00,40.00,0.00,0.00,72.00,50.00%,168,168,232.00,0.00,0.00,0.00,-64.00,138.10%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,120,120.00,48.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,136,96.00,24.00,0.00,0.00,40.00,70.59%,176,112,40.00,64.00,0.00,0.00,72.00,35.71%,"2,080",1800,"1,680.00",280.00,0.00,0.00,120.00,93.33%
239,PC - 3,Velvet Mariana,Level 7,Location 1,Client Service Staff,Secondee-Outward-Without Pay,Ophelie Jyoti,30-06-2014,Secondment,,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,184,140,140.00,40.00,4.00,0.00,0.00,100.00%,176,152,160.00,8.00,16.00,0.00,0.00,105.26%,168,133.5,137.00,32.00,2.50,0.00,0.00,102.62%,184,120,56.00,64.00,0.00,0.00,72.00,46.67%,168,168,234.00,0.00,0.00,0.00,-64.00,139.29%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,96,88,88.00,8.00,0.00,0.00,0.00,100.00%,-,-,-,-,-,-,-,-,"1,840",1569.5,"1,583.00",248.00,22.50,0.00,8.00,100.86%
240,PC - 1,Georgina Clarinda,Level 7,Location 3,Client Service Staff,Resigned,Em Cacilie,30-06-2014,Resigned,30-11-2017,160,112,64.00,48.00,0.00,0.00,48.00,57.14%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,176,160.00,8.00,0.00,0.00,24.00,90.91%,168,136,114.00,32.00,0.00,0.00,22.00,83.82%,176,152,120.00,24.00,0.00,0.00,32.00,78.95%,144,144,76.00,0.00,0.00,0.00,68.00,52.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,360",1224,"1,030.00",136.00,0.00,0.00,194.00,84.15%
241,PC - 3,Clarabelle Gae,Level 7,Location 1,Client Service Staff,Resigned,Misti Helena,30-06-2014,Resigned,31-12-2017,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,184,160,72.00,24.00,0.00,0.00,88.00,45.00%,176,168,200.00,8.00,0.00,0.00,-32.00,119.05%,168,160,152.00,8.00,0.00,0.00,0.00,95.00%,184,152,160.00,32.00,0.00,0.00,0.00,105.26%,168,152,152.00,16.00,0.00,0.00,0.00,100.00%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,128,128,128.00,0.00,0.00,0.00,0.00,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,520",1368,"1,312.00",152.00,0.00,0.00,56.00,95.91%
242,PC - 1,Ebony Cordy,Level 7,Location 3,Client Service Staff,Confirmed Staff,Gisella Nickie,30-06-2014,Active,,160,80,60.00,80.00,0.00,0.00,20.00,75.00%,184,184,192.00,0.00,0.00,0.00,0.00,104.35%,176,176,96.00,0.00,0.00,0.00,80.00,54.55%,168,168,188.00,0.00,0.00,0.00,-28.00,111.90%,184,160,104.00,24.00,0.00,0.00,88.00,65.00%,168,160,182.00,8.00,0.00,0.00,16.00,113.75%,176,152,84.00,24.00,0.00,0.00,68.00,55.26%,176,124,124.00,48.00,4.00,0.00,0.00,100.00%,168,128,180.00,40.00,0.00,0.00,-52.00,140.63%,184,176,142.00,8.00,0.00,0.00,54.00,80.68%,160,140.5,96.00,8.00,11.50,0.00,24.50,68.33%,176,160,172.00,16.00,0.00,0.00,-12.00,107.50%,"2,080",1808.5,"1,620.00",256.00,15.50,0.00,258.50,89.58%
243,PC - 1,Gaby Ellie,Level 6,Location 3,Client Service Staff,Confirmed Staff,Vinni Calypso,30-06-2014,Active,,160,144,120.00,8.00,8.00,0.00,24.00,83.33%,184,184,120.00,0.00,0.00,0.00,64.00,65.22%,176,160,160.00,16.00,0.00,0.00,64.00,100.00%,168,168,128.00,0.00,0.00,0.00,40.00,76.19%,184,160,96.00,24.00,0.00,0.00,64.00,60.00%,168,160,188.00,8.00,0.00,0.00,-28.00,117.50%,176,96,40.00,80.00,0.00,0.00,56.00,41.67%,176,176,192.00,0.00,0.00,0.00,-16.00,109.09%,168,88,48.00,80.00,0.00,0.00,40.00,54.55%,184,176,80.00,8.00,0.00,0.00,96.00,45.45%,160,128,96.00,32.00,0.00,0.00,32.00,75.00%,176,160,240.00,16.00,0.00,0.00,-80.00,150.00%,"2,080",1800,"1,508.00",272.00,8.00,0.00,356.00,83.78%
244,PC - 1,Dotti Laureen,Level 5,Location 6,Client Service Staff,Confirmed Staff,Trudey Lissi,30-06-2014,Active,,160,144,135.00,16.00,0.00,0.00,9.00,93.75%,184,168,48.00,16.00,0.00,0.00,96.00,28.57%,176,168,160.00,8.00,0.00,0.00,32.00,95.24%,168,144,132.00,24.00,0.00,0.00,16.00,91.67%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,168,136,64.00,32.00,0.00,0.00,72.00,47.06%,176,160,40.00,16.00,0.00,0.00,120.00,25.00%,176,176,194.00,0.00,0.00,0.00,-18.00,110.23%,168,96,62.00,72.00,0.00,0.00,34.00,64.58%,184,136,86.00,48.00,0.00,0.00,50.00,63.24%,160,151,169.00,0.00,9.00,0.00,-18.00,111.92%,176,159,191.00,16.00,1.00,0.00,-24.00,120.13%,"2,080",1822,"1,465.00",248.00,10.00,0.00,369.00,80.41%
245,PC - 2,Carleen Maryrose,Level 7,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,30-06-2014,Active,,160,134,136.00,8.00,18.00,0.00,0.00,101.49%,184,80,80.00,104.00,0.00,0.00,0.00,100.00%,176,0,0.00,176.00,0.00,0.00,0.00,-,168,-3,0.00,168.00,3.00,0.00,0.00,0.00%,184,-1.16,0.00,184.00,1.16,0.00,0.00,0.00%,168,160,104.00,8.00,0.00,0.00,56.00,65.00%,176,151,160.00,24.00,1.00,0.00,16.00,105.96%,176,174.5,175.00,0.00,1.50,0.00,0.00,100.29%,168,128,128.00,40.00,0.00,0.00,39.50,100.00%,184,159,172.00,16.00,9.00,0.00,39.00,108.18%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,"2,080",1302.34,"1,275.00",744.00,33.66,0.00,150.50,97.90%
247,PC - 2,Lucita Jolie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,30-06-2014,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,180,156.00,0.00,4.00,0.00,24.00,86.67%,176,128,124.00,16.00,32.00,0.00,8.00,96.88%,168,88,80.00,80.00,0.00,0.00,0.00,90.91%,184,200,206.00,-16.00,0.00,0.00,0.00,103.00%,168,134,134.00,8.00,26.00,0.00,0.00,100.00%,176,114,116.00,56.00,6.00,0.00,0.00,101.75%,176,176,104.00,0.00,0.00,0.00,72.00,59.09%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,184,188.00,0.00,0.00,0.00,0.00,102.17%,160,160,100.00,0.00,0.00,0.00,64.00,62.50%,176,168,182.00,8.00,0.00,0.00,24.00,108.33%,"2,080",1812,"1,670.00",200.00,68.00,0.00,192.00,92.16%
249,PC - 1,Tillie Abbie,Level 6,Location 3,Client Service Staff,Confirmed Staff,Audi Stephana,30-06-2014,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,136,136.00,48.00,0.00,0.00,0.00,100.00%,176,136,136.00,40.00,0.00,0.00,0.00,100.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,168,152,152.00,16.00,0.00,0.00,0.00,100.00%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,176,168,132.00,8.00,0.00,0.00,36.00,78.57%,168,99,108.00,60.00,9.00,0.00,0.00,109.09%,184,152,136.00,32.00,0.00,0.00,16.00,89.47%,160,140,129.00,16.00,4.00,12.00,0.00,92.14%,176,152,144.00,24.00,0.00,28.00,0.00,94.74%,"2,080",1767,"1,705.00",300.00,13.00,40.00,52.00,96.49%
250,PC - 3,Raye Emmye,Level 6,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,30-06-2014,Active,,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,184,146,121.00,32.00,6.00,0.00,32.00,82.88%,176,156.5,160.00,16.00,3.50,0.00,0.00,102.24%,168,156,60.00,8.00,4.00,0.00,88.00,38.46%,184,152,112.00,24.00,8.00,0.00,48.00,73.68%,168,116,40.00,48.00,4.00,0.00,76.00,34.48%,176,152,228.00,20.00,4.00,0.00,0.00,150.00%,176,168,170.00,8.00,0.00,0.00,0.00,101.19%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,144,112.00,40.00,0.00,0.00,32.00,77.78%,160,160,64.00,0.00,0.00,0.00,96.00,40.00%,176,136,232.00,40.00,0.00,0.00,-32.00,170.59%,"2,080",1774.5,"1,587.00",276.00,29.50,0.00,340.00,89.43%
251,PC - 3,Nessie Lotta,Level 6,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,30-06-2014,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,140,84.00,36.00,0.00,0.00,56.00,60.00%,168,88,0.00,80.00,0.00,0.00,80.00,0.00%,184,168,256.00,16.00,0.00,0.00,-80.00,152.38%,168,144,144.00,24.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,176,168,238.00,8.00,0.00,0.00,0.00,141.67%,168,128,174.00,40.00,0.00,0.00,0.00,135.94%,184,152,186.00,32.00,0.00,0.00,0.00,122.37%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,"2,080",1820,"1,914.00",260.00,0.00,0.00,56.00,105.16%
252,PC - 1,Emmalyn Cecile,Level 6,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,30-06-2014,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,184,104,104.00,80.00,0.00,0.00,0.00,100.00%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,144,128.00,24.00,8.00,16.00,0.00,88.89%,176,172,156.00,0.00,4.00,0.00,16.00,90.70%,168,160,144.00,8.00,0.00,0.00,16.00,90.00%,184,136,144.00,32.00,16.00,0.00,0.00,105.88%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,152,160.00,24.00,0.00,0.00,0.00,105.26%,"2,080",1852,"1,820.00",200.00,28.00,16.00,32.00,98.27%
253,PC - 1,Lindy Marguerite,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,30-06-2014,Active,,160,152,14.00,8.00,0.00,138.00,0.00,9.21%,184,184,50.00,0.00,0.00,110.00,0.00,27.17%,176,104,0.00,40.00,32.00,144.00,0.00,0.00%,168,152,0.00,0.00,16.00,160.00,0.00,0.00%,184,160,40.00,24.00,0.00,96.00,0.00,25.00%,168,160,44.00,8.00,0.00,150.00,0.00,27.50%,176,128,0.00,48.00,0.00,128.00,0.00,0.00%,176,176,32.00,0.00,0.00,112.00,0.00,18.18%,168,128,14.00,40.00,0.00,146.00,0.00,10.94%,184,168,8.00,16.00,0.00,136.00,0.00,4.76%,160,152,2.00,8.00,0.00,150.00,0.00,1.32%,176,144,2.00,32.00,0.00,190.00,0.00,1.39%,"2,080",1808,206.00,224.00,48.00,"1,660.00",0.00,11.39%
